customer_id,gender,age,gender_encoded,vehicle_type,vehicle_type_encoded,registration_date,last_service_date,avg_service_interval_days,total_services,monthly_spend_inr,city,customer_tenure_days,churned,churn_date,tenure_months,days_since_last_service,service_frequency,spend_per_service
CUST00040,Male,37,1,Four-wheeler,1,2018-01-08,2021-06-09,104,12,3805.3,Pune,1248,0,,41,22,0.2884614691198391,292.7153846153846
CUST00041,Male,50,1,Four-wheeler,1,2020-12-05,2021-03-21,106,1,3278.0,Pune,106,0,,3,102,0.28301806692999926,1639.0
CUST00042,Male,49,1,Two-wheeler,0,2019-10-31,2021-06-16,99,6,2032.32,Pune,594,1,2021-06-20,19,15,0.30303014998477273,290.33142857142855
CUST00043,Male,58,1,Four-wheeler,1,2017-03-20,2021-05-28,45,34,3966.05,Pune,1530,1,2021-06-05,51,34,0.6666665359477381,113.3157142857143
CUST00044,Female,54,0,Two-wheeler,0,2019-05-15,2021-06-04,93,10,1508.75,Pune,751,0,,25,27,0.3994672172567707,137.1590909090909
CUST00045,Male,37,1,Two-wheeler,0,2019-03-25,2020-11-09,119,5,1801.38,Pune,595,0,,19,234,0.25210071322653116,300.23
CUST00046,Male,61,1,Two-wheeler,0,2019-11-20,2021-04-23,130,4,1746.9,Pune,520,0,,17,69,0.23076909763321293,349.38
CUST00047,Male,58,1,Four-wheeler,1,2018-12-14,2021-03-19,118,7,3401.73,Pune,826,1,2021-06-26,27,104,0.25423719579762866,425.21625
CUST00048,Male,36,1,Two-wheeler,0,2017-06-02,2021-06-20,46,33,1844.65,Pune,1479,0,,49,11,0.6693710609795008,54.254411764705885
CUST00049,Male,33,1,Two-wheeler,0,2018-06-26,2021-06-10,72,15,1903.56,Pune,1080,0,,36,21,0.41666655092595806,118.9725
CUST00050,Male,50,1,Two-wheeler,0,2016-12-25,2021-06-10,37,44,1119.03,Pune,1628,0,,54,21,0.8108106613985268,24.86733333333333
CUST00051,Female,43,0,Two-wheeler,0,2016-01-20,2021-06-27,170,12,1561.42,Pune,1985,0,,66,4,0.18136017410173688,120.10923076923078
CUST00052,Female,54,0,Four-wheeler,1,2020-08-22,2021-06-30,123,3,3557.0,Pune,312,1,2021-06-23,10,1,0.28846126109494125,889.25
CUST00053,Female,63,0,Four-wheeler,1,2020-03-17,2021-06-19,68,7,3839.85,Pune,459,0,,15,12,0.457516040839189,479.98125
CUST00054,Female,64,0,Four-wheeler,1,2016-03-19,2021-06-26,166,12,3322.46,Pune,1925,0,,64,5,0.18701295786811045,255.57384615384615
CUST00055,Male,53,1,Two-wheeler,0,2019-08-09,2021-04-18,103,6,1260.9,Pune,618,0,,20,74,0.2912619945330123,180.12857142857143
CUST00056,Female,22,0,Two-wheeler,0,2016-03-05,2021-06-29,133,15,1567.6,Pune,1942,0,,64,2,0.231719840620004,97.975
CUST00057,Male,56,1,Two-wheeler,0,2020-12-17,2021-03-11,84,1,1972.54,Pune,84,0,,2,112,0.35714158163720844,986.27
CUST00058,Male,62,1,Two-wheeler,0,2019-09-06,2021-06-17,130,5,1020.25,Pune,650,0,,21,14,0.2307691242604042,170.04166666666666
CUST00059,Male,59,1,Two-wheeler,0,2019-01-11,2021-06-29,150,6,1090.08,Pune,900,0,,30,2,0.19999993333335556,155.72571428571428
CUST00060,Male,45,1,Four-wheeler,1,2016-01-12,2021-05-15,39,50,3291.8,Pune,1950,0,,65,47,0.7692306508875921,64.54509803921569
CUST00061,Male,42,1,Two-wheeler,0,2016-12-16,2021-06-07,38,43,1362.97,Pune,1634,0,,54,24,0.789473539264344,30.97659090909091
CUST00062,Male,63,1,Two-wheeler,0,2017-09-16,2021-06-02,118,12,793.77,Pune,1355,0,,45,29,0.26568259800385285,61.059230769230766
CUST00063,Female,58,0,Two-wheeler,0,2021-03-18,2021-06-26,100,1,2099.28,Pune,100,1,2021-06-30,3,5,0.29999910000269997,1049.64
CUST00064,Male,34,1,Two-wheeler,0,2017-11-21,2020-09-08,146,7,1447.88,Pune,1022,1,2021-04-29,34,296,0.2054793917379476,180.985
CUST00065,Male,23,1,Two-wheeler,0,2016-02-24,2020-11-11,123,14,1387.96,Pune,1722,1,2020-11-12,57,232,0.24390239653268353,92.53066666666668
CUST00066,Male,48,1,Four-wheeler,1,2020-06-18,2021-06-18,47,9,4149.06,Pune,365,0,,12,13,0.7397254194037649,414.90600000000006
CUST00067,Male,41,1,Four-wheeler,1,2019-09-09,2021-06-13,145,5,3787.12,Pune,643,0,,21,18,0.23328138416109603,631.1866666666666
CUST00068,Female,44,0,Four-wheeler,1,2020-03-22,2020-10-02,97,2,3285.83,Pune,194,1,2020-12-14,6,272,0.309277872250713,1095.2766666666666
CUST00069,Male,32,1,Two-wheeler,0,2016-04-19,2021-05-22,143,13,1565.84,Pune,1859,0,,61,40,0.20979017593488283,111.84571428571428
CUST00070,Female,37,0,Two-wheeler,0,2016-04-19,2021-06-05,162,12,1483.31,Pune,1873,0,,62,26,0.19220498790096296,114.10076923076923
CUST00071,Female,52,0,Two-wheeler,0,2019-11-13,2021-04-18,174,3,2079.34,Pune,522,1,2021-05-24,17,74,0.1724136940151184,519.835
CUST00072,Male,35,1,Two-wheeler,0,2020-03-10,2021-04-02,97,4,1433.03,Pune,388,1,2021-05-03,12,90,0.30927811138290356,286.606
CUST00073,Male,64,1,Four-wheeler,1,2018-01-16,2020-05-05,168,5,2923.18,Pune,840,0,,28,422,0.17857136479594116,487.19666666666666
CUST00074,Female,61,0,Two-wheeler,0,2017-05-18,2021-06-05,105,16,749.11,Pune,1479,0,,49,26,0.3245435447173337,44.065294117647056
CUST00075,Female,63,0,Two-wheeler,0,2018-12-31,2020-12-20,144,5,2090.06,Pune,720,0,,24,193,0.20833324652781396,348.3433333333333
CUST00076,Female,21,0,Two-wheeler,0,2016-06-10,2021-01-07,76,22,1184.55,Pune,1672,0,,55,175,0.3947367712792874,51.50217391304348
CUST00077,Female,54,0,Two-wheeler,0,2019-04-07,2021-03-07,100,7,1768.08,Pune,700,1,2021-03-21,23,116,0.29999987142862655,221.01
CUST00078,Male,61,1,Four-wheeler,1,2020-03-11,2021-06-08,161,4,3528.71,Pune,454,0,,15,23,0.26431700595792557,705.742
CUST00079,Male,53,1,Two-wheeler,0,2019-01-23,2021-04-12,135,6,1333.34,Pune,810,0,,27,80,0.22222213991772596,190.47714285714284
CUST00080,Male,49,1,Two-wheeler,0,2020-08-11,2021-06-02,138,3,1396.06,Pune,295,0,,9,29,0.3050844355073537,349.015
CUST00081,Female,32,0,Two-wheeler,0,2019-06-18,2020-10-25,165,3,2133.35,Pune,495,1,2021-02-05,16,249,0.18181807162541114,533.3375
CUST00082,Male,32,1,Two-wheeler,0,2018-01-14,2020-12-05,132,8,920.77,Pune,1056,0,,35,208,0.22727266270662988,102.30777777777777
CUST00083,Male,37,1,Four-wheeler,1,2021-05-06,2021-06-07,75,1,3345.42,Pune,32,0,,1,24,0.9374912110198966,1672.71
CUST00084,Male,51,1,Four-wheeler,1,2020-02-25,2021-05-18,56,8,3862.63,Pune,448,0,,14,44,0.535713926977281,429.18111111111114
CUST00085,Male,51,1,Four-wheeler,1,2020-06-09,2021-03-12,69,4,2986.74,Pune,276,0,,9,111,0.43478213610637384,597.348
CUST00086,Male,54,1,Four-wheeler,1,2017-07-14,2021-06-28,33,45,4026.91,Pune,1445,0,,48,3,0.9342558614001671,87.54152173913043
CUST00087,Female,58,0,Two-wheeler,0,2020-10-25,2021-06-07,63,4,1856.9,Pune,225,0,,7,24,0.5333326222231703,371.38
CUST00088,Male,48,1,Four-wheeler,1,2020-09-28,2021-06-08,145,2,3608.72,Pune,253,0,,8,23,0.23715386898750712,1202.9066666666665
CUST00089,Female,48,0,Two-wheeler,0,2021-02-22,2021-06-26,138,1,1298.74,Pune,124,0,,4,5,0.2419348985446003,649.37
CUST00090,Male,63,1,Two-wheeler,0,2018-03-07,2020-10-08,86,11,935.37,Pune,946,0,,31,266,0.34883709867745283,77.9475
CUST00091,Male,35,1,Four-wheeler,1,2019-09-07,2021-01-20,167,3,3782.82,Pune,501,1,2021-04-29,16,162,0.17964061099364612,945.705
CUST00092,Female,63,0,Two-wheeler,0,2016-01-25,2021-01-22,114,16,2599.46,Pune,1824,1,2021-06-17,60,160,0.26315785145430076,152.90941176470588
CUST00093,Female,29,0,Four-wheeler,1,2019-07-26,2021-06-09,90,8,3558.36,Pune,684,0,,22,22,0.35087703908901796,395.37333333333333
CUST00094,Male,49,1,Two-wheeler,0,2019-11-23,2021-05-08,76,7,769.58,Pune,532,0,,17,54,0.39473661950942507,96.1975
CUST00095,Female,44,0,Four-wheeler,1,2017-06-07,2021-06-16,105,14,3683.01,Pune,1470,0,,49,15,0.2857142274052597,245.53400000000002
CUST00096,Male,58,1,Four-wheeler,1,2019-01-18,2020-11-28,170,4,3844.11,Pune,680,0,,22,215,0.17647051038065717,768.822
CUST00097,Male,39,1,Four-wheeler,1,2016-04-06,2021-06-26,116,17,3132.86,Pune,1907,0,,63,5,0.26743572090680845,174.04777777777778
CUST00098,Male,24,1,Four-wheeler,1,2017-12-21,2021-06-15,54,24,3241.8,Pune,1272,0,,42,16,0.5660376023496221,129.672
CUST00099,Male,20,1,Four-wheeler,1,2017-10-26,2020-10-15,155,7,3201.05,Pune,1085,0,,36,259,0.19354833358110593,400.13125
CUST00100,Male,49,1,Two-wheeler,0,2017-04-13,2021-05-01,51,29,1287.45,Pune,1479,0,,49,61,0.5882351748001674,42.915
CUST00101,Male,22,1,Two-wheeler,0,2017-05-13,2021-06-04,83,19,1431.13,Pune,1483,0,,49,27,0.38435595731167416,71.5565
CUST00102,Male,64,1,Two-wheeler,0,2019-01-18,2021-06-21,60,15,1155.64,Pune,885,0,,29,10,0.5084744039069817,72.2275
CUST00103,Male,33,1,Four-wheeler,1,2018-03-11,2021-06-22,61,20,3005.66,Pune,1199,0,,39,9,0.5004168889699193,143.12666666666667
CUST00104,Male,49,1,Two-wheeler,0,2020-05-13,2020-10-28,168,1,1569.75,Pune,168,0,,5,246,0.178571109694447,784.875
CUST00105,Female,23,0,Four-wheeler,1,2019-10-16,2021-03-06,39,13,3426.94,Pune,507,0,,16,117,0.769230314064903,244.78142857142856
CUST00106,Male,37,1,Two-wheeler,0,2021-03-28,2021-06-13,77,1,1325.5,Pune,77,1,2021-06-16,2,18,0.38960887165374675,662.75
CUST00107,Male,56,1,Two-wheeler,0,2017-05-03,2021-06-25,140,11,1533.28,Pune,1514,0,,50,6,0.21796561070694634,127.77333333333333
CUST00108,Female,44,0,Four-wheeler,1,2016-04-02,2021-06-06,94,21,2891.93,Pune,1891,0,,63,25,0.333157006902643,131.45136363636362
CUST00109,Male,20,1,Two-wheeler,0,2016-01-06,2021-06-28,80,25,1605.28,Pune,2000,0,,66,3,0.3749999437500084,61.74153846153846
CUST00110,Male,34,1,Two-wheeler,0,2021-05-09,2021-06-29,117,1,1333.72,Pune,51,1,2021-06-30,1,2,0.5882318339303887,666.86
CUST00111,Male,28,1,Two-wheeler,0,2017-08-31,2021-04-22,133,10,1595.8,Pune,1330,0,,44,70,0.22556385889537015,145.07272727272726
CUST00112,Male,34,1,Four-wheeler,1,2016-03-24,2021-03-10,151,12,3659.86,Pune,1812,0,,60,113,0.198675463795453,281.5276923076923
CUST00113,Female,43,0,Four-wheeler,1,2021-01-27,2021-07-01,155,1,3952.46,Pune,155,0,,5,0,0.19354801248771777,1976.23
CUST00114,Female,23,0,Two-wheeler,0,2018-12-08,2021-06-13,102,9,1541.18,Pune,918,0,,30,18,0.2941175509419768,154.118
CUST00115,Male,31,1,Two-wheeler,0,2021-05-13,2021-06-10,170,1,1926.69,Pune,28,0,,0,21,1.071417091959729,963.345
CUST00116,Female,56,0,Two-wheeler,0,2018-05-17,2021-05-09,32,34,1371.23,Pune,1088,0,,36,53,0.937499741498233,39.178
CUST00117,Female,56,0,Four-wheeler,1,2020-01-15,2021-06-16,110,5,3390.33,Pune,518,0,,17,15,0.2895751218676901,565.055
CUST00118,Male,62,1,Four-wheeler,1,2018-01-24,2021-06-08,138,10,3463.63,Pune,1231,0,,41,23,0.24370424605095548,314.87545454545455
CUST00119,Female,25,0,Two-wheeler,0,2018-04-29,2021-05-31,94,12,1809.65,Pune,1128,1,2021-06-01,37,31,0.3191488512901991,139.20384615384617
CUST00120,Male,58,1,Two-wheeler,0,2017-09-29,2020-07-27,129,8,1752.38,Pune,1032,1,2020-10-19,34,339,0.23255807193079303,194.7088888888889
CUST00121,Female,43,0,Two-wheeler,0,2021-05-28,2021-06-14,61,1,1554.03,Pune,17,1,2021-06-24,0,17,1.764674741033982,777.015
CUST00122,Female,30,0,Four-wheeler,1,2020-05-26,2021-04-27,112,3,3008.91,Pune,336,0,,11,65,0.2678569036991931,752.2275
CUST00123,Male,32,1,Four-wheeler,1,2016-11-07,2021-03-10,72,22,3745.22,Pune,1584,0,,52,113,0.4166665877525402,162.83565217391305
CUST00124,Male,53,1,Two-wheeler,0,2018-11-22,2021-04-20,88,10,1155.44,Pune,880,0,,29,72,0.34090897469012227,105.04
CUST00125,Male,44,1,Two-wheeler,0,2016-07-04,2021-05-31,112,16,1133.64,Pune,1792,1,2021-06-03,59,31,0.26785709801499474,66.68470588235294
CUST00126,Male,26,1,Two-wheeler,0,2016-03-08,2021-06-10,112,19,1044.61,Pune,1920,1,2021-06-20,64,21,0.2968749536132885,52.23049999999999
CUST00127,Female,23,0,Four-wheeler,1,2018-06-12,2021-03-16,56,18,3466.73,Pune,1008,0,,33,107,0.5357141262755576,182.45947368421054
CUST00128,Female,27,0,Two-wheeler,0,2018-11-04,2021-05-22,93,10,1984.69,Pune,930,0,,31,40,0.3225805411030513,180.42636363636365
CUST00129,Male,39,1,Four-wheeler,1,2016-03-12,2021-01-05,176,10,3113.86,Pune,1760,0,,58,177,0.17045451639979833,283.0781818181818
CUST00130,Male,48,1,Four-wheeler,1,2018-04-16,2021-03-13,118,9,4171.43,Pune,1062,0,,35,110,0.2542372163171705,417.14300000000003
CUST00131,Male,64,1,Two-wheeler,0,2019-08-11,2021-06-29,177,4,1863.92,Pune,688,0,,22,2,0.17441852859657184,372.784
CUST00132,Male,29,1,Two-wheeler,0,2016-10-24,2021-06-09,149,12,914.16,Pune,1689,1,2021-06-27,56,22,0.21314383425509162,70.32
CUST00133,Male,62,1,Two-wheeler,0,2019-04-07,2020-11-03,144,4,1346.89,Pune,576,0,,19,240,0.20833322482644542,269.37800000000004
CUST00134,Male,53,1,Four-wheeler,1,2020-12-17,2021-05-14,148,1,3083.9,Pune,148,1,2021-05-26,4,48,0.20270229181967875,1541.95
CUST00135,Female,45,0,Four-wheeler,1,2020-06-28,2021-04-10,143,2,3765.98,Pune,286,1,2021-06-08,9,82,0.20978998973078,1255.3266666666666
CUST00136,Male,60,1,Four-wheeler,1,2016-03-06,2020-11-05,155,11,3104.73,Pune,1705,0,,56,238,0.1935483530413455,258.7275
CUST00137,Male,22,1,Two-wheeler,0,2016-01-20,2021-03-20,82,23,851.55,Pune,1886,1,2021-06-11,62,103,0.36585360034142095,35.481249999999996
CUST00138,Female,25,0,Two-wheeler,0,2021-04-21,2021-06-25,174,1,1369.71,Pune,65,0,,2,6,0.4615363313707783,684.855
CUST00139,Male,24,1,Four-wheeler,1,2020-07-16,2021-06-26,126,3,3967.76,Pune,345,1,2021-06-30,11,5,0.2608693383744884,991.94
CUST00140,Female,24,0,Four-wheeler,1,2017-03-19,2021-03-28,147,10,3422.99,Pune,1470,0,,49,95,0.20408159100375692,311.1809090909091
CUST00141,Female,42,0,Two-wheeler,0,2020-04-11,2021-02-03,149,2,1659.38,Pune,298,1,2021-02-09,9,148,0.20134207918582633,553.1266666666667
CUST00142,Male,28,1,Four-wheeler,1,2018-12-11,2021-06-22,141,7,3674.89,Pune,924,1,2021-06-25,30,9,0.2272726534829047,459.36125
CUST00143,Male,54,1,Four-wheeler,1,2019-08-06,2021-04-21,48,13,2895.09,Pune,624,0,,20,71,0.6249996995193752,206.79214285714286
CUST00144,Male,39,1,Two-wheeler,0,2016-09-15,2021-06-29,76,23,1140.25,Pune,1748,0,,58,2,0.39473677435867716,47.510416666666664
CUST00145,Male,61,1,Four-wheeler,1,2021-01-26,2021-06-16,62,3,3502.59,Pune,141,0,,4,15,0.6382965142627356,875.6475
CUST00146,Male,54,1,Four-wheeler,1,2020-07-11,2021-06-08,43,9,3277.06,Pune,332,1,2021-06-23,11,23,0.8132522771816773,327.706
CUST00147,Male,37,1,Four-wheeler,1,2017-07-09,2021-05-17,176,8,4181.78,Pune,1408,0,,46,45,0.1704545091361131,464.6422222222222
CUST00148,Male,36,1,Two-wheeler,0,2016-03-17,2021-06-02,177,12,1008.67,Pune,1903,0,,63,29,0.18917495704020645,77.59
CUST00149,Male,43,1,Two-wheeler,0,2017-02-06,2021-04-23,53,29,1136.3,Pune,1537,0,,51,69,0.5660376253667614,37.876666666666665
CUST00150,Male,22,1,Four-wheeler,1,2016-10-05,2020-12-31,86,18,3616.22,Pune,1548,0,,51,182,0.3488371416982283,190.32736842105263
CUST00151,Female,51,0,Two-wheeler,0,2020-11-15,2021-04-29,165,1,1248.84,Pune,165,0,,5,63,0.18181785124027047,624.42
CUST00152,Male,54,1,Two-wheeler,0,2019-01-15,2021-04-22,46,18,343.27,Pune,828,0,,27,70,0.6521736767486678,18.066842105263156
CUST00153,Male,57,1,Two-wheeler,0,2019-08-31,2021-06-05,95,8,2273.87,Pune,644,0,,21,26,0.37267063384908367,252.6522222222222
CUST00154,Male,32,1,Two-wheeler,0,2019-06-01,2021-01-21,100,6,1070.28,Pune,600,1,2021-05-19,20,161,0.299999850000075,152.89714285714285
CUST00155,Female,44,0,Four-wheeler,1,2020-02-03,2021-05-28,160,3,3724.36,Pune,480,0,,16,34,0.18749988281257324,931.09
CUST00156,Male,28,1,Four-wheeler,1,2017-04-17,2021-05-14,31,48,2998.64,Pune,1488,0,,49,48,0.967741740374649,61.196734693877545
CUST00157,Male,23,1,Two-wheeler,0,2018-05-10,2021-06-05,153,9,1154.79,Pune,1122,1,2021-06-17,37,26,0.24064164688726017,115.479
CUST00158,Female,33,0,Two-wheeler,0,2018-07-10,2021-06-04,68,16,850.83,Pune,1060,0,,35,27,0.45283006051979413,50.04882352941177
CUST00159,Male,56,1,Two-wheeler,0,2018-07-24,2021-05-18,49,21,1203.52,Pune,1029,0,,34,44,0.612244719462181,54.70545454545454
CUST00160,Female,53,0,Four-wheeler,1,2019-02-26,2021-01-11,137,5,3242.29,Pune,685,0,,22,171,0.21897800628700456,540.3816666666667
CUST00161,Male,30,1,Four-wheeler,1,2016-07-13,2021-06-10,176,11,3446.97,Pune,1793,0,,59,21,0.18404904896000296,287.2475
CUST00162,Male,60,1,Two-wheeler,0,2017-11-18,2021-06-09,63,22,1350.97,Pune,1299,0,,43,22,0.508083023537408,58.737826086956524
CUST00163,Male,22,1,Four-wheeler,1,2021-05-12,2021-06-22,96,1,2923.39,Pune,41,1,2021-06-23,1,9,0.7317019631563672,1461.695
CUST00164,Male,47,1,Four-wheeler,1,2020-01-30,2020-10-06,125,2,3290.44,Pune,250,1,2021-05-01,8,268,0.2399997120003456,1096.8133333333333
CUST00165,Male,48,1,Four-wheeler,1,2019-08-08,2021-07-01,77,9,4078.8,Pune,693,1,2021-06-24,23,0,0.3896102209479563,407.88
CUST00166,Female,28,0,Four-wheeler,1,2016-10-16,2021-06-03,88,22,4031.36,Pune,1691,0,,56,28,0.3903015274450276,175.27652173913043
CUST00167,Male,22,1,Two-wheeler,0,2020-04-13,2021-06-21,31,14,1682.27,Pune,434,1,2021-06-27,14,10,0.9677412665382951,112.15133333333333
CUST00168,Male,44,1,Four-wheeler,1,2020-12-23,2021-06-27,51,4,3765.24,Pune,186,0,,6,4,0.6451602497415327,753.048
CUST00169,Male,53,1,Two-wheeler,0,2020-10-12,2021-02-16,127,1,2324.33,Pune,127,1,2021-04-04,4,135,0.236219914441147,1162.165
CUST00170,Male,31,1,Four-wheeler,1,2020-09-25,2021-02-14,142,1,3728.5,Pune,142,1,2021-04-17,4,137,0.21126715929473389,1864.25
CUST00171,Male,61,1,Four-wheeler,1,2018-04-08,2021-02-07,74,14,3757.68,Pune,1036,0,,34,144,0.4054052880100517,250.512
CUST00172,Male,28,1,Four-wheeler,1,2016-06-24,2021-05-21,112,16,2874.17,Pune,1792,0,,59,41,0.26785709801499474,169.06882352941176
CUST00173,Male,34,1,Four-wheeler,1,2019-05-18,2021-06-17,158,5,3054.95,Pune,761,0,,25,14,0.19710898931314483,509.1583333333333
CUST00174,Male,59,1,Two-wheeler,0,2017-05-10,2021-01-19,135,10,1486.92,Pune,1350,0,,45,163,0.22222217283951712,135.17454545454547
CUST00175,Male,44,1,Two-wheeler,0,2018-03-30,2021-06-21,61,20,1177.02,Pune,1179,0,,39,10,0.5089057229247524,56.04857142857143
CUST00176,Male,24,1,Four-wheeler,1,2017-04-04,2020-10-12,143,9,3100.82,Pune,1287,0,,42,262,0.20979016088807437,310.082
CUST00177,Male,30,1,Four-wheeler,1,2020-05-26,2021-04-27,56,6,3147.02,Pune,336,1,2021-06-24,11,65,0.5357138073983863,449.57428571428574
CUST00178,Male,53,1,Two-wheeler,0,2018-02-27,2021-04-12,114,10,930.57,Pune,1140,0,,38,80,0.2631578254847827,84.59727272727274
CUST00179,Female,43,0,Two-wheeler,0,2017-04-26,2021-06-27,156,10,1183.45,Pune,1523,1,2021-06-29,50,4,0.19697960663566513,107.58636363636364
CUST00180,Male,34,1,Two-wheeler,0,2018-04-24,2021-04-26,122,9,1635.77,Pune,1098,0,,36,66,0.24590157215804037,163.577
